COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
China,Beijing,2006,13.4,7590.62,976,40.15,116.275,43.5
China,Beijing,2007,14,9038.21,1021,40.15,116.275,43.5
China,Beijing,2008,13.4,9735.94,1079,40.15,116.275,43.5
China,Beijing,2009,13.3,10093.61,1133,40.15,116.275,43.5
China,Beijing,2010,12.6,11123.15,1196,40.15,116.275,43.5
China,Beijing,2011,13.4,12250.85,1233,40.15,116.275,43.5
China,Beijing,2012,12.9,13175.85,1266,40.15,116.275,43.5
China,Beijing,2013,12.8,14285.37,1295,40.15,116.275,43.5
China,Beijing,2014,14.1,15160.8,1323,40.15,116.275,43.5
China,Beijing,2015,13.7,16149.43,1333,40.15,116.275,43.5
China,Chengdu,2006,16.9,2928.27,1007.7,30.5728,104.0665,500
China,Chengdu,2007,16.8,3581.68,1015.3,30.5728,104.0665,500
China,Chengdu,2008,16.34,4302.56,1025.5,30.5728,104.0665,500
China,Chengdu,2009,16.76,4795.17,1038.42,30.5728,104.0665,500
China,Chengdu,2010,16,6782.67,1171,30.5728,104.0665,500
China,Chengdu,2011,15.9,6782.67,1172.57,30.5728,104.0665,500
China,Chengdu,2012,15.9,7700.43,1181.49,30.5728,104.0665,500
China,Chengdu,2013,16.9,8173.01,1180,30.5728,104.0665,500
China,Chengdu,2014,16,8678.84,1190.49,30.5728,104.0665,500
China,Chengdu,2015,19.6,8614.06,1209.46,30.5728,104.0665,500
China,Hangzhou,2006,18.3,6340.77,458.73,30.25,120.17,10
China,Hangzhou,2007,18.3,7395.6,466.5,30.25,120.17,10
China,Hangzhou,2008,17.4,8468.61,486.68,30.25,120.17,10
China,Hangzhou,2009,17.8,8902.41,494.51,30.25,120.17,10
China,Hangzhou,2010,17.4,10086.22,516.53,30.25,120.17,10
China,Hangzhou,2011,17.2,11414.77,518.48,30.25,120.17,10
China,Hangzhou,2012,17.2,12191.9,522.28,30.25,120.17,10
China,Hangzhou,2013,18,12734.23,532.87,30.25,120.17,10
China,Hangzhou,2014,17.5,13538.78,543.46,30.25,120.17,10
China,Hangzhou,2015,17.5,14533.81,554.05,30.25,120.17,10
China,Hefei,2006,17,2687.5,665.77,31.80,117.175,25
China,Hefei,2007,17.4,3369.6,698.49,31.80,117.175,25
China,Hefei,2008,16.4,4145.17,710.94,31.80,117.175,25
China,Hefei,2009,16.7,4801.85,723.71,31.80,117.175,25
China,Hefei,2010,16.4,5862.78,809.99,31.80,117.175,25
China,Hefei,2011,16.3,6816.48,658.01,31.80,117.175,25
China,Hefei,2012,16.5,7590.34,661.6,31.80,117.175,25
China,Hefei,2013,17,8379.97,665.04,31.80,117.175,25
China,Hefei,2014,16.5,9218.18,672.41,31.80,117.175,25
China,Hefei,2015,16.7,10070.03,680.6,31.80,117.175,25
China,Shanghai,2006,17.9,7811.93,3097.48,31.2,121.5,4
China,Shanghai,2007,18.5,9083.95,3254.34,31.2,121.5,4
China,Shanghai,2008,17.2,9823.01,3375.89,31.2,121.5,4
China,Shanghai,2009,17.4,10278.84,3485.7,31.2,121.5,4
China,Shanghai,2010,17.2,11277.84,3631.38,31.2,121.5,4
China,Shanghai,2011,16.9,12201.28,3702.03,31.2,121.5,4
China,Shanghai,2012,17.1,12729.12,3754.03,31.2,121.5,4
China,Shanghai,2013,17.6,13600.28,3808.78,31.2,121.5,4
