COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Indonesia,Aceh,2010.0,27.1,2469.76,78.0,4.368549,97.025302,1236.0
Indonesia,Aceh,2011.0,27.1,2671.45,80.0,4.368549,97.025302,1236.0
Indonesia,Aceh,2012.0,26.9,2588.4,81.0,4.368549,97.025302,1236.0
Indonesia,Aceh,2013.0,27.0,2410.75,83.0,4.368549,97.025302,1236.0
Indonesia,Aceh,2014.0,27.1,2196.8,85.0,4.368549,97.025302,1236.0
Indonesia,Aceh,2015.0,27.1,1927.59,86.0,4.368549,97.025302,1236.0
Indonesia,Bali,2010.0,27.6,2639.45,676.0,-8.330498,115.09064,1906.0
Indonesia,Bali,2011.0,26.8,3014.08,685.0,-8.330498,115.09064,1906.0
Indonesia,Bali,2012.0,26.9,3136.97,693.0,-8.330498,115.09064,1906.0
Indonesia,Bali,2013.0,27.4,3167.49,702.0,-8.330498,115.09064,1906.0
Indonesia,Bali,2014.0,27.4,3211.11,710.0,-8.330498,115.09064,1906.0
Indonesia,Bali,2015.0,27.3,3172.76,718.0,-8.330498,115.09064,1906.0
Indonesia,Banten,2010.0,27.1,2794.02,1106.0,-6.44538,106.137559,76.0
Indonesia,Banten,2011.0,27.0,3190.08,1133.0,-6.44538,106.137559,76.0
Indonesia,Banten,2012.0,27.1,3217.82,1159.0,-6.44538,106.137559,76.0
Indonesia,Banten,2013.0,27.0,3153.77,1185.0,-6.44538,106.137559,76.0
Indonesia,Banten,2014.0,27.3,3087.16,1211.0,-6.44538,106.137559,76.0
Indonesia,Banten,2015.0,27.3,2994.34,1237.0,-6.44538,106.137559,76.0
Indonesia,Bengkulu,2010.0,26.8,1811.19,86.0,-3.518676,102.535983,649.0
Indonesia,Bengkulu,2011.0,26.84,2094.5,88.0,-3.518676,102.535983,649.0
Indonesia,Bengkulu,2012.0,26.9,2162.68,90.0,-3.518676,102.535983,649.0
Indonesia,Bengkulu,2013.0,26.7,2137.28,91.0,-3.518676,102.535983,649.0
Indonesia,Bengkulu,2014.0,26.9,2073.7,93.0,-3.518676,102.535983,649.0
Indonesia,Bengkulu,2015.0,27.0,2005.05,94.0,-3.518676,102.535983,649.0
Indonesia,Yogyakarta,2010.0,25.97,2052.03,1107.0,-7.875385,110.426209,128.0
Indonesia,Yogyakarta,2011.0,26.0,2318.51,1120.0,-7.875385,110.426209,128.0
Indonesia,Yogyakarta,2012.0,26.6,2316.74,1134.0,-7.875385,110.426209,128.0
Indonesia,Yogyakarta,2013.0,26.2,2258.29,1147.0,-7.875385,110.426209,128.0
Indonesia,Yogyakarta,2014.0,26.3,2151.4,1161.0,-7.875385,110.426209,128.0
Indonesia,Yogyakarta,2015.0,26.1,2059.27,1174.0,-7.875385,110.426209,128.0
Indonesia,JakartaRaya,2010.0,28.53,12269.4,14518.0,-6.175247,106.827049,6.0
Indonesia,JakartaRaya,2011.0,28.5,14314.0,14687.0,-6.175247,106.827049,6.0
Indonesia,JakartaRaya,2012.0,28.1,14794.19,14852.0,-6.175247,106.827049,6.0
Indonesia,JakartaRaya,2013.0,28.2,14831.65,15015.0,-6.175247,106.827049,6.0
Indonesia,JakartaRaya,2014.0,28.4,14742.05,15173.0,-6.175247,106.827049,6.0
Indonesia,JakartaRaya,2015.0,28.4,14596.44,15328.0,-6.175247,106.827049,6.0
Indonesia,Gorontalo,2010.0,26.93,1629.48,93.0,0.718617,122.455593,73.0
Indonesia,Gorontalo,2011.0,27.0,1867.92,94.0,0.718617,122.455593,73.0
Indonesia,Gorontalo,2012.0,27.07,1939.9,96.0,0.718617,122.455593,73.0
Indonesia,Gorontalo,2013.0,27.0,1926.62,98.0,0.718617,122.455593,73.0
Indonesia,Gorontalo,2014.0,26.7,1903.29,99.0,0.718617,122.455593,73.0
Indonesia,Gorontalo,2015.0,27.3,1877.91,101.0,0.718617,122.455593,73.0
Indonesia,Jambi,2010.0,27.1,3207.94,62.0,-1.611572,102.779699,33.0
Indonesia,Jambi,2011.0,26.9,3726.57,63.0,-1.611572,102.779699,33.0
Indonesia,Jambi,2012.0,26.7,3799.02,64.0,-1.611572,102.779699,33.0
Indonesia,Jambi,2013.0,26.8,3781.06,66.0,-1.611572,102.779699,33.0
Indonesia,Jambi,2014.0,27.2,3649.41,67.0,-1.611572,102.779699,33.0
