COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Japan,Chiba,2011,16.3,31537.93,3587.02,35.62,140.114,5
Japan,Chiba,2012,15.9,32393.6,3587.02,35.62,140.114,5
Japan,Chiba,2013,16.6,33249.27,3587.02,35.62,140.114,5
Japan,Chiba,2014,16.3,34104.93,3587.02,35.62,140.114,5
Japan,Chiba,2015,16.7,34960.6,3587.02,35.62,140.114,5
Japan,Chiba,2016,16.8,39375.5,3587.02,35.62,140.114,5
Japan,Chiba,2017,16.3,38834.1,3587.02,35.62,140.114,5
Japan,Chiba,2018,17.2,39751.1,3587.02,35.62,140.114,5
Japan,Chiba,2019,16.8,40416.0,3587.02,35.62,140.114,5
Japan,Chiba,2020,17.0,40028.7,3587.02,35.62,140.114,5
Japan,Chiba,2021,17.1,40094.6,3587.02,35.62,140.114,5
Japan,Fukuoka,2011,17.1,31537.93,4694.01,33.587,130.402,3
Japan,Fukuoka,2012,17.0,32393.6,4694.01,33.587,130.402,3
Japan,Fukuoka,2013,17.7,33249.27,4694.01,33.587,130.402,3
Japan,Fukuoka,2014,17.1,34104.93,4694.01,33.587,130.402,3
Japan,Fukuoka,2015,17.3,34960.6,4694.01,33.587,130.402,3
Japan,Fukuoka,2016,18.1,39375.5,4694.01,33.587,130.402,3
Japan,Fukuoka,2017,17.6,38834.1,4694.01,33.587,130.402,3
Japan,Fukuoka,2018,17.7,39751.1,4694.01,33.587,130.402,3
Japan,Fukuoka,2019,17.9,40416.0,4694.01,33.587,130.402,3
Japan,Fukuoka,2020,17.9,40028.7,4694.01,33.587,130.402,3
Japan,Fukuoka,2021,18.2,40094.6,4694.01,33.587,130.402,3
Japan,Hamamatsu,2011,16.3,31537.93,507.52,34.72,137.737,3
Japan,Hamamatsu,2012,16.2,32393.6,507.52,34.72,137.737,3
Japan,Hamamatsu,2013,16.9,33249.27,507.52,34.72,137.737,3
Japan,Hamamatsu,2014,16.5,34104.93,507.52,34.72,137.737,3
Japan,Hamamatsu,2015,17.0,34960.6,507.52,34.72,137.737,3
Japan,Hamamatsu,2016,17.5,39375.5,507.52,34.72,137.737,3
Japan,Hamamatsu,2017,16.5,38834.1,507.52,34.72,137.737,3
Japan,Hamamatsu,2018,17.4,39751.1,507.52,34.72,137.737,3
