COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Korea,Busan,2015.0,15.4,21182.0,4479.9,35.133333,129.05,72.0
Korea,Busan,2016.0,15.7,21404.38,4468.8,35.133333,129.05,72.0
Korea,Busan,2017.0,15.2,22718.35,4437.4,35.133333,129.05,72.0
Korea,Busan,2018.0,15.1,24073.66,4409.8,35.133333,129.05,72.0
Korea,Busan,2019.0,15.7,23654.97,4379.7,35.133333,129.05,72.0
Korea,Busan,2020.0,15.2,23043.39,4348.9,35.133333,129.05,72.0
Korea,Chungcheongbuk-do,2015.0,12.4,30706.65,214.6,36.821529,127.656847,116.0
Korea,Chungcheongbuk-do,2016.0,12.6,32150.13,216.5,36.821529,127.656847,116.0
Korea,Chungcheongbuk-do,2017.0,11.9,35950.78,217.5,36.821529,127.656847,116.0
Korea,Chungcheongbuk-do,2018.0,11.9,39130.62,218.8,36.821529,127.656847,116.0
Korea,Chungcheongbuk-do,2019.0,12.4,36630.59,220.0,36.821529,127.656847,116.0
Korea,Chungcheongbuk-do,2020.0,12.1,36141.46,220.3,36.821529,127.656847,116.0
Korea,Chungcheongnam-do,2015.0,12.9,42594.78,256.6,36.5,127.0,113.0
Korea,Chungcheongnam-do,2016.0,13.1,43355.62,259.2,36.5,127.0,113.0
Korea,Chungcheongnam-do,2017.0,12.3,47529.61,262.9,36.5,127.0,113.0
Korea,Chungcheongnam-do,2018.0,12.4,48218.28,265.1,36.5,127.0,113.0
Korea,Chungcheongnam-do,2019.0,12.7,44496.42,265.4,36.5,127.0,113.0
Korea,Chungcheongnam-do,2020.0,12.7,44960.19,264.0,36.5,127.0,113.0
Korea,Daegu,2015.0,14.8,18560.33,2791.0,35.966667,128.65,231.0
Korea,Daegu,2016.0,14.6,18632.98,2785.3,35.966667,128.65,231.0
Korea,Daegu,2017.0,14.4,19760.09,2776.2,35.966667,128.65,231.0
Korea,Daegu,2018.0,14.1,21059.91,2766.7,35.966667,128.65,231.0
Korea,Daegu,2019.0,14.8,20486.33,2750.3,35.966667,128.65,231.0
Korea,Daegu,2020.0,14.5,20253.18,2728.6,35.966667,128.65,231.0
Korea,Daejeon,2015.0,14.0,21304.02,2852.3,36.333333,127.416667,54.0
Korea,Daejeon,2016.0,14.0,22086.66,2846.9,36.333333,127.416667,54.0
Korea,Daejeon,2017.0,13.4,23500.42,2828.5,36.333333,127.416667,54.0
Korea,Daejeon,2018.0,13.5,24755.92,2801.0,36.333333,127.416667,54.0
Korea,Daejeon,2019.0,14.0,24499.02,2777.5,36.333333,127.416667,54.0
Korea,Daejeon,2020.0,13.7,25205.93,2758.1,36.333333,127.416667,54.0
Korea,Gangwon-do,2015.0,12.0,23825.77,90.2,37.75,128.25,770.0
Korea,Gangwon-do,2016.0,12.0,24434.55,90.4,37.75,128.25,770.0
Korea,Gangwon-do,2017.0,11.5,26504.74,90.4,37.75,128.25,770.0
Korea,Gangwon-do,2018.0,11.3,28068.96,90.3,37.75,128.25,770.0
Korea,Gangwon-do,2019.0,12.0,27613.62,90.3,37.75,128.25,770.0
Korea,Gangwon-do,2020.0,11.7,27127.91,90.4,37.75,128.25,770.0
Korea,Gwangju,2015.0,14.6,20459.6,2998.8,35.166667,126.916667,41.0
Korea,Gwangju,2016.0,15.0,21142.16,2995.7,35.166667,126.916667,41.0
Korea,Gwangju,2017.0,14.6,22355.21,2985.3,35.166667,126.916667,41.0
Korea,Gwangju,2018.0,14.6,24246.5,2973.2,35.166667,126.916667,41.0
Korea,Gwangju,2019.0,14.7,23845.4,2972.7,35.166667,126.916667,41.0
Korea,Gwangju,2020.0,14.5,24084.43,2948.5,35.166667,126.916667,41.0
Korea,Gyeonggi-do,2015.0,12.6,27187.51,1226.4,37.6,127.25,65.0
Korea,Gyeonggi-do,2016.0,12.7,27891.68,1244.4,37.6,127.25,65.0
Korea,Gyeonggi-do,2017.0,11.8,31271.6,1261.6,37.6,127.25,65.0
Korea,Gyeonggi-do,2018.0,11.7,33495.18,1286.2,37.6,127.25,65.0
Korea,Gyeonggi-do,2019.0,12.3,30934.94,1305.0,37.6,127.25,65.0
Korea,Gyeonggi-do,2020.0,12.2,30935.44,1325.3,37.6,127.25,65.0
