COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Malaysia,Johor,2015,29.3,7812.63,209.91,2.05,103.39,32.0
Malaysia,Johor,2016,29.3,8022.84,209.91,2.05,103.39,32.0
Malaysia,Johor,2017,28.6,8212.9,209.91,2.05,103.39,32.0
Malaysia,Johor,2018,28.5,9096.94,209.91,2.05,103.39,32.0
Malaysia,Johor,2019,29.3,9116.25,209.91,2.05,103.39,32.0
Malaysia,Johor,2020,28.6,8062.06,209.91,2.05,103.39,32.0
Malaysia,Johor,2021,28.2,8893.86,209.91,2.05,103.39,32.0
Malaysia,Johor,2022,28.0,9328.63,209.91,2.05,103.39,32.0
Malaysia,Johor,2023,28.4,9109.04,209.91,2.05,103.39,32.0
Malaysia,Johor,2024,28.6,9271.09,209.91,2.05,103.39,32.0
Malaysia,Kelantan,2015,27.8,3117.72,118.7,5.29,102.03,6.0
Malaysia,Kelantan,2016,28.0,3148.51,118.7,5.29,102.03,6.0
Malaysia,Kelantan,2017,27.2,3184.97,118.7,5.29,102.03,6.0
Malaysia,Kelantan,2018,27.3,3422.44,118.7,5.29,102.03,6.0
Malaysia,Kelantan,2019,27.7,3497.74,118.7,5.29,102.03,6.0
Malaysia,Kelantan,2020,27.5,3560.89,118.7,5.29,102.03,6.0
Malaysia,Kelantan,2021,27.2,3802.53,118.7,5.29,102.03,6.0
Malaysia,Kelantan,2022,27.2,3761.35,118.7,5.29,102.03,6.0
Malaysia,Kelantan,2023,27.7,3660.0,118.7,5.29,102.03,6.0
Malaysia,Kelantan,2024,28.1,3727.79,118.7,5.29,102.03,6.0
Malaysia,KualaLumpur,2015,28.2,24887.21,7162.03,3.03,101.7,52.5
Malaysia,KualaLumpur,2016,28.5,25245.27,7162.03,3.03,101.7,52.5
Malaysia,KualaLumpur,2017,27.8,26362.24,7162.03,3.03,101.7,52.5
Malaysia,KualaLumpur,2018,27.8,30377.14,7162.03,3.03,101.7,52.5
Malaysia,KualaLumpur,2019,28.3,31628.44,7162.03,3.03,101.7,52.5
Malaysia,KualaLumpur,2020,28.4,25948.74,7162.03,3.03,101.7,52.5
Malaysia,KualaLumpur,2021,28.0,27361.96,7162.03,3.03,101.7,52.5
Malaysia,KualaLumpur,2022,28.0,28811.81,7162.03,3.03,101.7,52.5
Malaysia,KualaLumpur,2023,28.1,28486.52,7162.03,3.03,101.7,52.5
Malaysia,KualaLumpur,2024,28.5,28936.43,7162.03,3.03,101.7,52.5
Malaysia,Putrajaya,2015,28.2,24887.21,7162.03,3.03,101.7,52.5
Malaysia,Putrajaya,2016,28.5,25245.27,7162.03,3.03,101.7,52.5
Malaysia,Putrajaya,2017,27.8,26362.24,7162.03,3.03,101.7,52.5
