COUNTRY,AREA,YEAR,TEMPERATURE,GDP PER CAPITA,POPULATION DENSITY,LATITUDE,LONGITUDE,ELEVATION
Thailand,BangkokMetropolis,2016,28.49,17364.0,6150.32,13.6585,99.9083,1.5
Thailand,BangkokMetropolis,2017,28.42,18266.3,6310.32,13.6585,99.9083,1.5
Thailand,BangkokMetropolis,2018,28.75,19299.4,6474.15,13.6585,99.9083,1.5
Thailand,BangkokMetropolis,2019,28.76,20267.5,6597.82,13.6585,99.9083,1.5
Thailand,BangkokMetropolis,2020,28.84,18762.2,6718.3,13.6585,99.9083,1.5
Thailand,BangkokMetropolis,2021,29.0,18728.4,6835.6,13.6585,99.9083,1.5
Thailand,BangkokMetropolis,2022,29.0,19961.6,6948.43,13.6585,99.9083,1.5
Thailand,BangkokMetropolis,2023,28.4,21501.5,7056.8,13.6585,99.9083,1.5
Thailand,BangkokMetropolis,2024,28.8,22092.57,7161.34,13.6585,99.9083,1.5
Thailand,BangkokMetropolis,2025,28.84,22683.64,7262.06,13.6585,99.9083,1.5
Thailand,MuangChiangMai,2016,27.0,6670.3,27103.64,18.7953,98.9986,304.0
Thailand,MuangChiangMai,2017,26.7,6761.82,27650.69,18.7953,98.9986,304.0
Thailand,MuangChiangMai,2018,26.5,7048.23,28222.6,18.7953,98.9986,304.0
Thailand,MuangChiangMai,2019,27.1,7341.58,28620.45,18.7953,98.9986,304.0
Thailand,MuangChiangMai,2020,27.0,6638.22,29018.3,18.7953,98.9986,304.0
Thailand,MuangChiangMai,2021,26.5,6478.24,29391.29,18.7953,98.9986,304.0
Thailand,MuangChiangMai,2022,26.4,6587.94,29789.14,18.7953,98.9986,304.0
Thailand,MuangChiangMai,2023,27.1,7320.09,30162.12,18.7953,98.9986,304.0
Thailand,MuangChiangMai,2024,27.4,7412.92,30559.98,18.7953,98.9986,304.0
Thailand,MuangChiangMai,2025,27.45,7505.74,30932.96,18.7953,98.9986,304.0
Thailand,MuangChiangRai,2016,25.34,6106.03,8611.34,19.9094,99.8275,390.0
